President,year,party,votes,winner or runner up
Joe Biden,2020,Democratic,81268924,Winner.
Howie Hawkins,2020,Green,405035,Third-party candidate.
Jo Jorgensen,2020,Libertarian,1865724,Third-party candidate.
Donald Trump,2020,Republican,74216154,Runner-up.
Donald Trump,2016,Republican,62984828,Winner.
Hillary Clinton,2016,Democratic,65853514,Runner-up.
Gary Johnson,2016,Libertarian,4489235,Third-party candidate.
Jill Stein,2016,Green,1457226,Third-party candidate.
Barack Obama,2012,Democratic,65915795,Winner.
Mitt Romney,2012,Republican,60933504,Runner-up.
Gary Johnson,2012,Libertarian,1275971,Third-party candidate.
Jill Stein,2012,Green,469627,Third-party candidate.
Barack Obama,2008,Democratic,69498516,Winner.
John McCain,2008,Republican,59948323,Runner-up.
Chuck Baldwin,2008,Constitution,199750,Third-party candidate.
Cynthia McKinney,2008,Green,161797,Third-party candidate.
George W. Bush,2004,Republican,62040610,Winner.
John Kerry,2004,Democratic,59028444,Runner-up.
Al Gore,2000,Democratic,50999897,Runner-up.
George W. Bush,2000,Republican,50456002,Winner.
Bill Clinton,1996,Democratic,47401185,Winner.
Bob Dole,1996,Republican,39197469,Runner-up.
Bill Clinton,1992,Democratic,44909889,Winner.
George H. W. Bush,1992,Republican,39104550,Runner-up.
George H. W. Bush,1988,Republican,48886597,Winner.
Michael Dukakis,1988,Democratic,41809074,Runner-up.
Ronald Reagan,1984,Republican,54455472,Winner.
Walter Mondale,1984,Democratic,37577352,Runner-up.
Ronald Reagan,1980,Republican,43903230,Winner.
Jimmy Carter,1980,Democratic,35480115,Runner-up.